id,name,age_group,pop_2022
0380,Uppsala,75-79 years,9581
0380,Uppsala,80-84 years,5543
0380,Uppsala,85-89 years,3034
0380,Uppsala,90-94 years,1460
0380,Uppsala,95-99 years,426
0380,Uppsala,100+ years,61
0381,Enköping,0-4 years,2855
0381,Enköping,5-9 years,3081
0381,Enköping,10-14 years,3055
0381,Enköping,15-19 years,2776
0381,Enköping,20-24 years,2444
0381,Enköping,25-29 years,2689
0381,Enköping,30-34 years,3484
0381,Enköping,35-39 years,3132
0381,Enköping,40-44 years,2695
0381,Enköping,45-49 years,2781
0381,Enköping,50-54 years,3133
0381,Enköping,55-59 years,3161
0381,Enköping,60-64 years,2724
0381,Enköping,65-69 years,2447
0381,Enköping,70-74 years,2396
0381,Enköping,75-79 years,2326
0381,Enköping,80-84 years,1412
0381,Enköping,85-89 years,794
0381,Enköping,90-94 years,346
0381,Enköping,95-99 years,102
0381,Enköping,100+ years,15
0382,Östhammar,0-4 years,1092
0382,Östhammar,5-9 years,1261
0382,Östhammar,10-14 years,1213
0382,Östhammar,15-19 years,1158
0382,Östhammar,20-24 years,922
0382,Östhammar,25-29 years,1112
0382,Östhammar,30-34 years,1435
0382,Östhammar,35-39 years,1163
0382,Östhammar,40-44 years,1107
0382,Östhammar,45-49 years,1176
0382,Östhammar,50-54 years,1367
0382,Östhammar,55-59 years,1494
0382,Östhammar,60-64 years,1496
0382,Östhammar,65-69 years,1557
0382,Östhammar,70-74 years,1662
0382,Östhammar,75-79 years,1507
0382,Östhammar,80-84 years,857
0382,Östhammar,85-89 years,494
0382,Östhammar,90-94 years,197
0382,Östhammar,95-99 years,60
0382,Östhammar,100+ years,14
0428,Vingåker,0-4 years,462
0428,Vingåker,5-9 years,515
0428,Vingåker,10-14 years,492
0428,Vingåker,15-19 years,552
0428,Vingåker,20-24 years,413
0428,Vingåker,25-29 years,444
0428,Vingåker,30-34 years,518
0428,Vingåker,35-39 years,400
0428,Vingåker,40-44 years,453
0428,Vingåker,45-49 years,480
0428,Vingåker,50-54 years,575
0428,Vingåker,55-59 years,637
0428,Vingåker,60-64 years,604
0428,Vingåker,65-69 years,588
0428,Vingåker,70-74 years,639
0428,Vingåker,75-79 years,607
0428,Vingåker,80-84 years,354
0428,Vingåker,85-89 years,158
0428,Vingåker,90-94 years,73
0428,Vingåker,95-99 years,16
0428,Vingåker,100+ years,1
0461,Gnesta,0-4 years,620
0461,Gnesta,5-9 years,741
0461,Gnesta,10-14 years,759
0461,Gnesta,15-19 years,647
0461,Gnesta,20-24 years,466
0461,Gnesta,25-29 years,488
0461,Gnesta,30-34 years,753
0461,Gnesta,35-39 years,677
0461,Gnesta,40-44 years,751
0461,Gnesta,45-49 years,729
0461,Gnesta,50-54 years,744
0461,Gnesta,55-59 years,760
0461,Gnesta,60-64 years,689
0461,Gnesta,65-69 years,681
0461,Gnesta,70-74 years,724
0461,Gnesta,75-79 years,714
0461,Gnesta,80-84 years,384
0461,Gnesta,85-89 years,186
0461,Gnesta,90-94 years,77
0461,Gnesta,95-99 years,18
0461,Gnesta,100+ years,4
0480,Nyköping,0-4 years,3133
0480,Nyköping,5-9 years,3545
0480,Nyköping,10-14 years,3538
0480,Nyköping,15-19 years,3551
0480,Nyköping,20-24 years,2623
0480,Nyköping,25-29 years,3098
0480,Nyköping,30-34 years,3766
0480,Nyköping,35-39 years,3606
0480,Nyköping,40-44 years,3308
0480,Nyköping,45-49 years,3391
0480,Nyköping,50-54 years,3478
0480,Nyköping,55-59 years,3682
0480,Nyköping,60-64 years,3389
0480,Nyköping,65-69 years,3214
0480,Nyköping,70-74 years,3363
0480,Nyköping,75-79 years,3337
0480,Nyköping,80-84 years,2108
0480,Nyköping,85-89 years,1212
0480,Nyköping,90-94 years,505
0480,Nyköping,95-99 years,149
0480,Nyköping,100+ years,25
0481,Oxelösund,0-4 years,659
0481,Oxelösund,5-9 years,719
0481,Oxelösund,10-14 years,675
0481,Oxelösund,15-19 years,645
0481,Oxelösund,20-24 years,429
0481,Oxelösund,25-29 years,624
0481,Oxelösund,30-34 years,765
0481,Oxelösund,35-39 years,685
