country_name,region_code,region_name,year,k_passengers
United Kingdom,UKJ3,Hampshire and Isle of Wight,2009,1789
United Kingdom,UKJ4,Kent,2009,5
United Kingdom,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",2009,5635
United Kingdom,UKK2,Dorset and Somerset,2009,868
United Kingdom,UKK3,Cornwall and Isles of Scilly,2009,-
United Kingdom,UKK4,Devon,2009,788
United Kingdom,UKL2,East Wales,2009,1625
United Kingdom,UKM5,North Eastern Scotland,2009,2984
United Kingdom,UKM6,Highlands and Islands,2009,1289
United Kingdom,UKM7,Eastern Scotland,2009,9114
United Kingdom,UKM8,West Central Scotland,2009,7213
United Kingdom,UKM9,Southern Scotland,2009,1817
United Kingdom,UKN0,Northern Ireland,2009,7504
United Kingdom,UKZZ,Extra-Regio NUTS 2,2009,347
Austria,AT12,Niederösterreich,2010,19617
Austria,AT21,Kärnten,2010,427
Austria,AT22,Steiermark,2010,964
Austria,AT31,Oberösterreich,2010,642
Austria,AT32,Salzburg,2010,1613
Austria,AT33,Tirol,2010,1025
Belgium,BE21,Prov. (2) Antwerpen,2010,81
Belgium,BE24,Prov. Vlaams-Brabant,2010,16980
Belgium,BE25,Prov. West-Vlaanderen,2010,175
Belgium,BE32,Prov. Hainaut,2010,5181
Belgium,BE33,Prov. Liège,2010,295
Bulgaria,BG33,Североизточен,2010,1200
Bulgaria,BG34,Югоизточен,2010,1872
Bulgaria,BG41,Югозападен,2010,3278
,CH01,,2010,11752
,CH02,,2010,86
,CH04,,2010,22849
,CH05,,2010,68
,CH07,,2010,159
Cyprus,CY00,Κύπρος,2010,6948
Czechia,CZ01,Praha,2010,11514
Czechia,CZ04,Severozápad,2010,68
Czechia,CZ05,Severovýchod,2010,59
Czechia,CZ06,Jihovýchod,2010,356
Czechia,CZ08,Moravskoslezsko,2010,244
Germany,DE11,Stuttgart,2010,9135
Germany,DE12,Karlsruhe,2010,1215
Germany,DE13,Freiburg,2010,0
Germany,DE14,Tübingen,2010,570
Germany,DE21,Oberbayern,2010,34520
Germany,DE22,Niederbayern,2010,0
Germany,DE24,Oberfranken,2010,14
Germany,DE25,Mittelfranken,2010,4020
Germany,DE27,Schwaben,2010,903
Germany,DE30,Berlin,2010,14966
Germany,DE40,Brandenburg,2010,7255
Germany,DE50,Bremen,2010,2657
Germany,DE60,Hamburg,2010,12884
Germany,DE71,Darmstadt,2010,52646
Germany,DE73,Kassel,2010,0
Germany,DE80,Mecklenburg-Vorpommern,2010,171
Germany,DE91,Braunschweig,2010,2
Germany,DE92,Hannover,2010,4994
Germany,DE94,Weser-Ems,2010,0
Germany,DEA1,Düsseldorf,2010,21789
Germany,DEA2,Köln,2010,9786
Germany,DEA3,Münster,2010,1288
Germany,DEA4,Detmold,2010,977
Germany,DEA5,Arnsberg,2010,1732
Germany,DEB1,Koblenz,2010,3454
Germany,DEB2,Trier,2010,0
Germany,DEB3,Rheinhessen-Pfalz,2010,242
Germany,DEC0,Saarland,2010,417
Germany,DED2,Dresden,2010,1794
Germany,DED5,Leipzig,2010,1810
Germany,DEE0,Sachsen-Anhalt,2010,0
Germany,DEF0,Schleswig-Holstein,2010,711
Germany,DEG0,Thüringen,2010,305
Germany,DEZZ,Extra-Regio NUTS 2,2010,17
Denmark,DK01,Hovedstaden,2010,21394
Denmark,DK02,Sjælland,2010,9
Denmark,DK03,Syddanmark,2010,2665
Denmark,DK04,Midtjylland,2010,869
Denmark,DK05,Nordjylland,2010,1323
Estonia,EE00,Eesti,2010,1381
Greece,EL30,Αττική,2010,15393
Greece,EL41,Βόρειο Αιγαίο,2010,1349
Greece,EL42,Νότιο Αιγαίο,2010,6785
Greece,EL43,Κρήτη,2010,6655
Greece,EL51,"Ανατολική Μακεδονία, Θράκη",2010,593
Greece,EL52,Κεντρική Μακεδονία,2010,3969
Greece,EL53,Δυτική Μακεδονία,2010,6
Greece,EL54,Ήπειρος,2010,120
Greece,EL61,Θεσσαλία,2010,302
Greece,EL62,Ιόνια Νησιά,2010,3021
Greece,EL63,Δυτική Ελλάδα,2010,390
Greece,EL64,Στερεά Ελλάδα,2010,5
Greece,EL65,Πελοπόννησος,2010,100
Spain,ES11,Galicia,2010,4337
Spain,ES12,Principado de Asturias,2010,1350
Spain,ES13,Cantabria,2010,918
Spain,ES21,País Vasco,2010,4194
Spain,ES22,Comunidad Foral de Navarra,2010,283
Spain,ES24,Aragón,2010,606
Spain,ES30,Comunidad de Madrid,2010,49797
Spain,ES41,Castilla y León,2010,380
Spain,ES51,Cataluña,2010,35421
Spain,ES52,Comunidad Valenciana,2010,14283
Spain,ES53,Illes Balears,2010,27939
Spain,ES61,Andalucía,2010,18936
Spain,ES62,Región de Murcia,2010,1348
Spain,ES64,Ciudad Autónoma de Melilla,2010,254
Spain,ES70,Canarias,2010,27557
Finland,FI19,Länsi-Suomi,2010,1122
Finland,FI1B,Helsinki-Uusimaa,2010,12861
Finland,FI1C,Etelä-Suomi,2010,417
Finland,FI1D,Pohjois- ja Itä-Suomi,2010,1992
Finland,FI20,Åland,2010,49
Finland,FIZZ,Extra-Regio NUTS 2,2010,-
France,FR10,Île-de-France,2010,83089
France,FRB0,Centre-Val de Loire,2010,-
France,FRC1,Bourgogne,2010,-
France,FRD1,Basse-Normandie,2010,-
France,FRD2,Haute-Normandie,2010,-
France,FRE1,Nord-Pas-de-Calais,2010,1149
France,FRE2,Picardie,2010,2931
France,FRF1,Alsace,2010,5128
France,FRF2,Champagne-Ardenne,2010,21
France,FRF3,Lorraine,2010,233
France,FRG0,Pays-de-la-Loire,2010,2969
France,FRH0,Bretagne,2010,1596
France,FRI1,Aquitaine,2010,5522
France,FRI2,Limousin,2010,333
France,FRI3,Poitou-Charentes,2010,190
France,FRJ1,Languedoc-Roussillon,2010,2114
France,FRJ2,Midi-Pyrénées,2010,6778
France,FRK1,Auvergne,2010,366
France,FRK2,Rhône-Alpes,2010,8377
France,FRL0,Provence-Alpes-Côte d’Azur,2010,17423
France,FRM0,Corse,2010,2827
France,FRY1,Guadeloupe,2010,1995
France,FRY2,Martinique,2010,1556
France,FRY3,Guyane,2010,416
France,FRY4,La Réunion,2010,1911
France,FRY5,Mayotte,2010,-
Croatia,HR03,Jadranska Hrvatska,2010,3084
Croatia,HR04,Kontinentalna Hrvatska,2010,2017
Hungary,HU11,Budapest,2010,8175
Hungary,HU32,Észak-Alföld,2010,-
Ireland,IE04,Northern and Western,2010,740
Ireland,IE05,Southern,2010,4254
Ireland,IE06,Eastern and Midland,2010,18408
,IS00,,2010,2036
Italy,ITC1,Piemonte,2010,3541
Italy,ITC3,Liguria,2010,1272
Italy,ITC4,Lombardia,2010,34826
Italy,ITF1,Abruzzo,2010,456
Italy,ITF3,Campania,2010,5536
Italy,ITF4,Puglia,2010,5045
Italy,ITF6,Calabria,2010,2377
Italy,ITG1,Sicilia,2010,12453
Italy,ITG2,Sardegna,2010,6363
Italy,ITH1,Provincia Autonoma di Bolzano/Bozen (1),2010,54
Italy,ITH3,Veneto,2010,11958
Italy,ITH4,Friuli-Venezia Giulia,2010,721
Italy,ITH5,Emilia-Romagna,2010,6873
Italy,ITI1,Toscana,2010,5773
Italy,ITI2,Umbria,2010,108
Italy,ITI3,Marche,2010,504
Italy,ITI4,Lazio,2010,40486
Lithuania,LT01,Sostinės regionas,2010,1370
