date,dead,injured,lon,lat
2019-06-07,0,0,12.981095,55.600795
2019-06-07,0,1,13.946299,55.536505
2019-06-09,0,0,16.357223,56.70346
2019-06-10,0,1,17.622713,59.810337
2019-06-10,0,0,17.641932,59.872841
2019-06-10,1,0,12.977261,55.582756
2019-06-10,0,0,12.978708,55.585476
2019-06-10,0,0,17.911137,59.39453
2019-06-10,0,1,18.04652,59.253947
2019-06-11,0,1,15.692027,59.827472
2019-06-11,0,0,12.890787,56.670171
2019-06-11,0,0,22.124827,65.607908
2019-06-15,0,0,14.17974,56.04328
2019-06-16,0,0,15.571536,58.405508
2019-06-18,0,1,17.914514,59.413324
2019-06-19,0,0,21.768365,66.904233
2019-06-19,0,0,12.05816,57.598291
2019-06-19,0,1,17.620792,59.808578
2019-06-20,0,0,17.643574,59.871012
2019-06-20,0,0,15.175672,59.316423
2019-06-22,0,2,15.580372,58.422534
2019-06-22,0,0,17.763945,62.93086
2019-06-23,0,1,16.522427,59.613918
2019-06-24,0,0,17.733761,66.95244
2019-06-25,0,0,17.552993,59.854831
2019-06-25,0,1,16.545129,59.645088
2019-06-25,0,0,20.045688,64.970763
2019-06-27,0,0,14.749812,63.627224
2019-06-28,0,0,16.512232,59.386805
2019-06-30,0,0,18.228992,59.235164
2019-06-30,0,1,17.80854,59.453387
2019-06-30,1,0,17.94391,59.427041
2019-06-30,1,0,17.875682,59.350388
2019-06-30,0,0,17.94391,59.427041
2019-07-01,0,0,20.325517,63.833574
2019-07-02,0,1,14.80624,56.906547
2019-07-03,0,0,19.469301,64.91365
2019-07-04,0,0,17.862427,59.401898
2019-07-05,0,0,17.894774,59.388604
2019-07-05,0,0,14.15862,56.054819
2019-07-06,0,0,18.075621,59.343126
2019-07-08,1,0,15.416663,60.484111
2019-07-10,0,1,17.916676,59.212893
2019-07-11,0,0,20.325534,63.855169
2019-07-11,0,0,20.203339,63.856029
2019-07-11,0,0,17.819189,59.242
2019-07-11,0,1,17.017066,58.753849
2019-07-12,0,0,18.617319,64.466905
2019-07-12,0,1,16.501529,59.622243
2019-07-14,0,0,17.361053,62.50354
2019-07-15,0,0,13.051865,55.582167
2019-07-16,0,1,11.88306,57.727116
2019-07-16,0,1,11.884274,57.732539
2019-07-16,0,1,13.01377,55.582455
2019-07-21,0,0,18.866195,59.409255
2019-07-22,0,1,13.005297,55.593102
2019-07-22,0,0,18.207217,59.208742
2019-07-26,0,0,16.193526,58.580869
2019-07-26,0,0,17.020833,58.75918
2019-07-27,0,0,12.726828,56.016075
2019-07-27,0,0,18.130786,59.139611
2019-07-28,0,0,17.630403,59.27291
2019-07-29,0,1,12.842427,55.870759
2019-07-30,0,1,13.571143,59.413791
2019-07-31,0,0,17.121904,61.207946
2019-07-31,0,0,13.514518,59.379029
2019-08-01,0,0,17.830304,59.614938
2019-08-03,0,0,17.926421,59.387897
2019-08-04,0,0,16.19374,58.587155
2019-08-05,0,1,12.98257,55.572059
2019-08-05,0,0,14.615464,58.988185
2019-08-05,0,0,17.879914,59.275714
2019-08-06,0,1,16.608062,59.62547
2019-08-07,0,1,13.017439,55.572628
2019-08-07,0,1,16.509261,59.597006
2019-08-07,1,0,17.907159,59.389227
2019-08-07,0,1,17.637103,59.518056
2019-08-09,0,0,12.917205,57.737572
2019-08-10,0,0,13.050413,55.579448
2019-08-10,0,1,13.046975,55.584786
2019-08-14,0,1,12.973749,57.717824
2019-08-17,0,0,12.782916,56.658771
2019-08-17,0,0,17.622995,59.813925
2019-08-18,0,0,11.628843,58.505318
2019-08-18,0,0,11.965719,57.703061
2019-08-19,1,0,18.056428,59.384016
2019-08-19,0,0,17.643953,59.515223
2019-08-21,0,0,14.252002,57.766859
2019-08-21,0,1,17.625851,59.804884
2019-08-23,0,0,17.641505,59.86746
2019-08-24,0,1,17.694013,59.809794
2019-08-25,0,0,18.132426,59.157545
2019-08-25,0,1,17.040192,59.382312
2019-08-26,0,1,16.530901,59.371319
2019-08-26,1,0,12.973118,55.601562
2019-08-27,0,0,12.307686,58.273349
2019-08-28,0,0,14.070605,57.170065
2019-08-28,0,0,17.117043,60.690704
2019-08-28,1,0,17.886753,59.356433
2019-08-29,0,1,17.691015,59.861066
2019-08-31,0,0,18.265807,59.289966
2019-09-04,0,0,17.62742,59.802157
2019-09-04,0,0,12.719266,56.062671
2019-09-04,0,0,12.846323,55.887004
2019-09-05,0,0,17.934105,59.293374
2019-09-06,0,1,18.033721,59.327035
2019-09-07,1,0,18.172168,59.133214
2019-09-08,0,0,19.820969,66.957553
2019-09-08,0,0,17.556353,59.852071
